RTSW,web,plot,data,-,created,28-06-2024,15:02:42,,,,,,,,,,,,,,,,,,,,,,
More,information,is,available,from,SWPC,at,http://www.swpc.noaa.gov/products/real-time-solar-wind,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start:,02-01-2020 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End:,02-01-2020 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,"0=ACE,","1=DSCOVR,",2=mixed,ACE+DSCOVR,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resolution:,1,day,,,,,,,,,,,,,,,,,,,,,,,,,,,
med=50th,percentile,"(median),",min=1st,"percentile,",max=99th,percentile,,,,,,,,,,,,,,,,,,,,,,,
Phi,mean,is,the,average,"angle,",taking,into,account,the,wrapping,at,0/360,degrees,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More,data,is,available,from,the,NCEI,archive,at,https://www.ngdc.noaa.gov/dscovr,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timestamp,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max
02-01-2020,00:00:00,0,3.21,1.34,5.65,0.97,-2.96,3.32,-1.58,-4.91,3.19,0.35,-3.3,2.8,305.56,4.25,355.86,6.41,-50.11,60.99,2.78,0.83,6.05,340.66,301.67,382.93,36386,16024,76056
